COHORT_WEEK,ACTION_WEEK,ACTION_WEEK
2021-04-26,2021-04-26,12732
2021-04-26,2021-05-03,4244
2021-04-26,2021-05-10,1414
2021-04-26,2021-05-17,707
2021-05-03,2021-05-03,12789
2021-05-03,2021-05-10,6394
2021-05-03,2021-05-17,3197
2021-05-03,2021-05-24,1065
2021-05-10,2021-05-10,18845
2021-05-10,2021-05-17,6281
2021-05-10,2021-05-24,2093
2021-05-10,2021-05-31,697
2021-05-17,2021-05-17,18656
2021-05-17,2021-05-24,6218
2021-05-17,2021-05-31,2072
2021-05-17,2021-06-07,1036
2021-05-24,2021-05-24,18260
2021-05-24,2021-05-31,6086
2021-05-24,2021-06-07,3043
2021-05-24,2021-06-14,1521
2021-05-31,2021-05-31,12571
2021-05-31,2021-06-07,4190
2021-05-31,2021-06-14,2095
2021-05-31,2021-06-21,698
2021-06-07,2021-06-07,11945
2021-06-07,2021-06-14,5972
2021-06-07,2021-06-21,1990
2021-06-07,2021-06-28,663
2021-06-14,2021-06-14,17789
2021-06-14,2021-06-21,8894
2021-06-14,2021-06-28,4447
2021-06-14,2021-07-05,1482
2021-06-21,2021-06-21,12979
2021-06-21,2021-06-28,6489
2021-06-21,2021-07-05,2163
2021-06-21,2021-07-12,721
2021-06-28,2021-06-28,17583
2021-06-28,2021-07-05,5861
2021-06-28,2021-07-12,1953
2021-06-28,2021-07-19,976
2021-07-05,2021-07-05,11679
2021-07-05,2021-07-12,3893
2021-07-05,2021-07-19,1946
2021-07-05,2021-07-26,648
2021-07-12,2021-07-12,13213
2021-07-12,2021-07-19,6606
2021-07-12,2021-07-26,3303
2021-07-12,2021-08-02,1651
2021-07-19,2021-07-19,18921
2021-07-19,2021-07-26,9460
2021-07-19,2021-08-02,3153
2021-07-19,2021-08-09,1051
2021-07-26,2021-07-26,18248
2021-07-26,2021-08-02,9124
2021-07-26,2021-08-09,4562
2021-07-26,2021-08-16,1520
2021-08-02,2021-08-02,18649
2021-08-02,2021-08-09,6216
2021-08-02,2021-08-16,3108
2021-08-02,2021-08-23,1036
2021-08-09,2021-08-09,11937
2021-08-09,2021-08-16,3979
2021-08-09,2021-08-23,1989
2021-08-09,2021-08-30,663
2021-08-16,2021-08-16,12007
2021-08-16,2021-08-23,6003
2021-08-16,2021-08-30,2001
2021-08-16,2021-09-06,667
2021-08-23,2021-08-23,12057
2021-08-23,2021-08-30,4019
2021-08-23,2021-09-06,2009
2021-08-23,2021-09-13,1004
2021-08-30,2021-08-30,11954
2021-08-30,2021-09-06,3984
2021-08-30,2021-09-13,1328
2021-08-30,2021-09-20,442
2021-09-06,2021-09-06,13094
2021-09-06,2021-09-13,6547
2021-09-06,2021-09-20,2182
2021-09-06,2021-09-27,727
2021-09-13,2021-09-13,19235
2021-09-13,2021-09-20,9617
2021-09-13,2021-09-27,4808
2021-09-13,2021-10-04,1602
2021-09-20,2021-09-20,12466
2021-09-20,2021-09-27,6233
2021-09-20,2021-10-04,3116
2021-09-20,2021-10-11,1038
2021-09-27,2021-09-27,18385
2021-09-27,2021-10-04,6128
2021-09-27,2021-10-11,2042
2021-09-27,2021-10-18,1021
2021-10-04,2021-10-04,17666
2021-10-04,2021-10-11,5888
2021-10-04,2021-10-18,2944
2021-10-04,2021-10-25,1472
2021-10-11,2021-10-11,18757
2021-10-11,2021-10-18,6252
2021-10-11,2021-10-25,2084
2021-10-11,2021-11-01,1042
2021-10-18,2021-10-18,19579
2021-10-18,2021-10-25,9789
2021-10-18,2021-11-01,3263
2021-10-18,2021-11-08,1631
2021-10-25,2021-10-25,17965
2021-10-25,2021-11-01,8982
2021-10-25,2021-11-08,4491
2021-10-25,2021-11-15,1497
2021-11-01,2021-11-01,13196
2021-11-01,2021-11-08,4398
2021-11-01,2021-11-15,1466
2021-11-01,2021-11-22,733
2021-11-08,2021-11-08,19980
2021-11-08,2021-11-15,9990
2021-11-08,2021-11-22,4995
2021-11-08,2021-11-29,1665
2021-11-15,2021-11-15,17582
2021-11-15,2021-11-22,5860
2021-11-15,2021-11-29,1953
2021-11-15,2021-12-06,976
2021-11-22,2021-11-22,11967
2021-11-22,2021-11-29,5983
2021-11-22,2021-12-06,1994
2021-11-22,2021-12-13,664
2021-11-29,2021-11-29,17775
2021-11-29,2021-12-06,8887
2021-11-29,2021-12-13,4443
2021-11-29,2021-12-20,2221
2021-12-06,2021-12-06,18509
2021-12-06,2021-12-13,9254
2021-12-06,2021-12-20,4627
2021-12-06,2021-12-27,1542
2021-12-13,2021-12-13,13080
2021-12-13,2021-12-20,4360
2021-12-13,2021-12-27,2180
2021-12-13,2022-01-03,726
2021-12-20,2021-12-20,12303
2021-12-20,2021-12-27,4101
2021-12-20,2022-01-03,1367
2021-12-20,2022-01-10,683
2021-12-27,2021-12-27,11917
2021-12-27,2022-01-03,3972
2021-12-27,2022-01-10,1986
2021-12-27,2022-01-17,993
2022-01-03,2022-01-03,11868
2022-01-03,2022-01-10,3956
2022-01-03,2022-01-17,1978
2022-01-03,2022-01-24,659
2022-01-10,2022-01-10,13005
2022-01-10,2022-01-17,4335
2022-01-10,2022-01-24,2167
2022-01-10,2022-01-31,722
2022-01-17,2022-01-17,11732
2022-01-17,2022-01-24,5866
2022-01-17,2022-01-31,1955
2022-01-17,2022-02-07,977
2022-01-24,2022-01-24,17736
2022-01-24,2022-01-31,8868
2022-01-24,2022-02-07,4434
2022-01-24,2022-02-14,2217
2022-01-31,2022-01-31,12167
2022-01-31,2022-02-07,4055
2022-01-31,2022-02-14,1351
2022-01-31,2022-02-21,675
2022-02-07,2022-02-07,18266
2022-02-07,2022-02-14,9133
2022-02-07,2022-02-21,4566
2022-02-07,2022-02-28,2283
2022-02-14,2022-02-14,18062
2022-02-14,2022-02-21,6020
2022-02-14,2022-02-28,2006
2022-02-14,2022-03-07,668
2022-02-21,2022-02-21,12887
2022-02-21,2022-02-28,4295
2022-02-21,2022-03-07,1431
2022-02-21,2022-03-14,715
2022-02-28,2022-02-28,17660
2022-02-28,2022-03-07,8830
2022-02-28,2022-03-14,4415
2022-02-28,2022-03-21,2207
2022-03-07,2022-03-07,12324
2022-03-07,2022-03-14,6162
2022-03-07,2022-03-21,2054
2022-03-07,2022-03-28,1027
2022-03-14,2022-03-14,18062
2022-03-14,2022-03-21,6020
2022-03-14,2022-03-28,3010
2022-03-14,2022-04-04,1003
2022-03-21,2022-03-21,12557
2022-03-21,2022-03-28,4185
2022-03-21,2022-04-04,1395
2022-03-21,2022-04-11,465
2022-03-28,2022-03-28,12903
2022-03-28,2022-04-04,4301
2022-03-28,2022-04-11,2150
2022-03-28,2022-04-18,716
2022-04-04,2022-04-04,19615
2022-04-04,2022-04-11,6538
2022-04-04,2022-04-18,3269
2022-04-04,2022-04-25,1634
2022-04-11,2022-04-11,12956
2022-04-11,2022-04-18,4318
2022-04-11,2022-04-25,2159
2022-04-11,2022-05-02,1079
2022-04-18,2022-04-18,18395
2022-04-18,2022-04-25,6131
2022-04-18,2022-05-02,2043
2022-04-18,2022-05-09,681
2022-04-25,2022-04-25,18272
2022-04-25,2022-05-02,9136
2022-04-25,2022-05-09,4568
2022-04-25,2022-05-16,1522
2022-05-02,2022-05-02,12482
2022-05-02,2022-05-09,6241
2022-05-02,2022-05-16,3120
2022-05-02,2022-05-23,1560
2022-05-09,2022-05-09,11850
2022-05-09,2022-05-16,5925
2022-05-09,2022-05-23,1975
2022-05-09,2022-05-30,658
2022-05-16,2022-05-16,18399
2022-05-16,2022-05-23,6133
2022-05-16,2022-05-30,2044
2022-05-16,2022-06-06,1022
2022-05-23,2022-05-23,18679
2022-05-23,2022-05-30,9339
2022-05-23,2022-06-06,4669
2022-05-23,2022-06-13,1556
2022-05-30,2022-05-30,12053
2022-05-30,2022-06-06,4017
2022-05-30,2022-06-13,1339
2022-05-30,2022-06-20,669
2022-06-06,2022-06-06,19722
2022-06-06,2022-06-13,6574
2022-06-06,2022-06-20,3287
2022-06-06,2022-06-27,1095
2022-06-13,2022-06-13,12036
2022-06-13,2022-06-20,6018
2022-06-13,2022-06-27,3009
2022-06-13,2022-07-04,1003
2022-06-20,2022-06-20,13154
2022-06-20,2022-06-27,4384
2022-06-20,2022-07-04,2192
2022-06-20,2022-07-11,730
2022-06-27,2022-06-27,18739
2022-06-27,2022-07-04,6246
2022-06-27,2022-07-11,3123
2022-06-27,2022-07-18,1041
2022-07-04,2022-07-04,13059
2022-07-04,2022-07-11,4353
2022-07-04,2022-07-18,2176
2022-07-04,2022-07-25,1088
2022-07-11,2022-07-11,19461
2022-07-11,2022-07-18,6487
2022-07-11,2022-07-25,2162
2022-07-11,2022-08-01,720
2022-07-18,2022-07-18,17743
2022-07-18,2022-07-25,5914
2022-07-18,2022-08-01,1971
2022-07-18,2022-08-08,985
2022-07-25,2022-07-25,13276
2022-07-25,2022-08-01,6638
2022-07-25,2022-08-08,2212
2022-07-25,2022-08-15,737
2022-08-01,2022-08-01,12615
2022-08-01,2022-08-08,6307
2022-08-01,2022-08-15,2102
2022-08-01,2022-08-22,1051
2022-08-08,2022-08-08,19858
2022-08-08,2022-08-15,9929
2022-08-08,2022-08-22,3309
2022-08-08,2022-08-29,1103
2022-08-15,2022-08-15,13026
2022-08-15,2022-08-22,4342
2022-08-15,2022-08-29,2171
2022-08-15,2022-09-05,1085
2022-08-22,2022-08-22,18696
2022-08-22,2022-08-29,9348
2022-08-22,2022-09-05,4674
2022-08-22,2022-09-12,1558
2022-08-29,2022-08-29,13071
2022-08-29,2022-09-05,6535
2022-08-29,2022-09-12,2178
2022-08-29,2022-09-19,1089
2022-09-05,2022-09-05,18602
2022-09-05,2022-09-12,9301
2022-09-05,2022-09-19,3100
2022-09-05,2022-09-26,1550
2022-09-12,2022-09-12,13080
2022-09-12,2022-09-19,4360
2022-09-12,2022-09-26,2180
2022-09-12,2022-10-03,726
2022-09-19,2022-09-19,19860
2022-09-19,2022-09-26,9930
2022-09-19,2022-10-03,3310
2022-09-19,2022-10-10,1103
2022-09-26,2022-09-26,18757
2022-09-26,2022-10-03,9378
2022-09-26,2022-10-10,3126
2022-09-26,2022-10-17,1042
2022-10-03,2022-10-03,13271
2022-10-03,2022-10-10,6635
2022-10-03,2022-10-17,3317
2022-10-03,2022-10-24,1105
2022-10-10,2022-10-10,13187
2022-10-10,2022-10-17,4395
2022-10-10,2022-10-24,2197
2022-10-10,2022-10-31,1098
2022-10-17,2022-10-17,18362
2022-10-17,2022-10-24,6120
2022-10-17,2022-10-31,3060
2022-10-17,2022-11-07,1020
2022-10-24,2022-10-24,11971
2022-10-24,2022-10-31,5985
2022-10-24,2022-11-07,1995
2022-10-24,2022-11-14,997
2022-10-31,2022-10-31,18354
2022-10-31,2022-11-07,6118
2022-10-31,2022-11-14,2039
2022-10-31,2022-11-21,1019
2022-11-07,2022-11-07,19117
2022-11-07,2022-11-14,6372
2022-11-07,2022-11-21,2124
2022-11-07,2022-11-28,1062
2022-11-14,2022-11-14,13108
2022-11-14,2022-11-21,4369
2022-11-14,2022-11-28,1456
2022-11-14,2022-12-05,485
2022-11-21,2022-11-21,12480
2022-11-21,2022-11-28,4160
2022-11-21,2022-12-05,1386
2022-11-21,2022-12-12,693
2022-11-28,2022-11-28,11705
2022-11-28,2022-12-05,3901
2022-11-28,2022-12-12,1950
2022-11-28,2022-12-19,650
2022-12-05,2022-12-05,13104
2022-12-05,2022-12-12,4368
2022-12-05,2022-12-19,2184
2022-12-05,2022-12-26,1092
2022-12-12,2022-12-12,13320
2022-12-12,2022-12-19,4440
2022-12-12,2022-12-26,1480
2022-12-12,2023-01-02,493
2022-12-19,2022-12-19,12483
2022-12-19,2022-12-26,4161
2022-12-19,2023-01-02,1387
2022-12-19,2023-01-09,462
2022-12-26,2022-12-26,13094
2022-12-26,2023-01-02,6547
2022-12-26,2023-01-09,2182
2022-12-26,2023-01-16,1091
2023-01-02,2023-01-02,12631
2023-01-02,2023-01-09,6315
2023-01-02,2023-01-16,3157
2023-01-02,2023-01-23,1052
2023-01-09,2023-01-09,13167
2023-01-09,2023-01-16,4389
2023-01-09,2023-01-23,1463
2023-01-09,2023-01-30,731
2023-01-16,2023-01-16,19385
2023-01-16,2023-01-23,9692
2023-01-16,2023-01-30,4846
2023-01-16,2023-02-06,2423
2023-01-23,2023-01-23,12983
2023-01-23,2023-01-30,4327
2023-01-23,2023-02-06,1442
2023-01-23,2023-02-13,721
2023-01-30,2023-01-30,12444
2023-01-30,2023-02-06,6222
2023-01-30,2023-02-13,3111
2023-01-30,2023-02-20,1555
2023-02-06,2023-02-06,17825
2023-02-06,2023-02-13,5941
2023-02-06,2023-02-20,2970
2023-02-06,2023-02-27,990
2023-02-13,2023-02-13,17548
2023-02-13,2023-02-20,5849
2023-02-13,2023-02-27,1949
2023-02-13,2023-03-06,649
2023-02-20,2023-02-20,18076
2023-02-20,2023-02-27,6025
2023-02-20,2023-03-06,3012
2023-02-20,2023-03-13,1004
2023-02-27,2023-02-27,18171
2023-02-27,2023-03-06,9085
2023-02-27,2023-03-13,3028
2023-02-27,2023-03-20,1009
2023-03-06,2023-03-06,13225
2023-03-06,2023-03-13,4408
2023-03-06,2023-03-20,2204
2023-03-06,2023-03-27,1102
2023-03-13,2023-03-13,17869
2023-03-13,2023-03-20,8934
2023-03-13,2023-03-27,4467
2023-03-13,2023-04-03,1489
2023-03-20,2023-03-20,19925
2023-03-20,2023-03-27,9962
2023-03-20,2023-04-03,4981
2023-03-20,2023-04-10,1660
2023-03-27,2023-03-27,11933
2023-03-27,2023-04-03,5966
2023-03-27,2023-04-10,1988
2023-03-27,2023-04-17,662
2023-04-03,2023-04-03,18923
2023-04-03,2023-04-10,6307
2023-04-03,2023-04-17,2102
2023-04-03,2023-04-24,700
2023-04-10,2023-04-10,12989
2023-04-10,2023-04-17,6494
2023-04-10,2023-04-24,3247
2023-04-10,2023-05-01,1623
2023-04-17,2023-04-17,12288
2023-04-17,2023-04-24,6144
2023-04-17,2023-05-01,2048
2023-04-17,2023-05-08,1024
2023-04-24,2023-04-24,12537
2023-04-24,2023-05-01,6268
2023-04-24,2023-05-08,3134
2023-04-24,2023-05-15,1567
2023-05-01,2023-05-01,12825
2023-05-01,2023-05-08,4275
2023-05-01,2023-05-15,2137
2023-05-01,2023-05-22,712
2023-05-08,2023-05-08,12510
2023-05-08,2023-05-15,4170
2023-05-08,2023-05-22,2085
2023-05-08,2023-05-29,695
2023-05-15,2023-05-15,18384
2023-05-15,2023-05-22,6128
2023-05-15,2023-05-29,3064
2023-05-15,2023-06-05,1532
2023-05-22,2023-05-22,13278
2023-05-22,2023-05-29,6639
2023-05-22,2023-06-05,2213
2023-05-22,2023-06-12,1106
2023-05-29,2023-05-29,11912
2023-05-29,2023-06-05,5956
2023-05-29,2023-06-12,2978
2023-05-29,2023-06-19,1489
2023-06-05,2023-06-05,12288
2023-06-05,2023-06-12,6144
2023-06-05,2023-06-19,3072
2023-06-05,2023-06-26,1024
2023-06-12,2023-06-12,11714
2023-06-12,2023-06-19,5857
2023-06-12,2023-06-26,2928
2023-06-12,2023-07-03,1464
2023-06-19,2023-06-19,18261
2023-06-19,2023-06-26,9130
2023-06-19,2023-07-03,4565
2023-06-19,2023-07-10,2282
2023-06-26,2023-06-26,18629
2023-06-26,2023-07-03,6209
2023-06-26,2023-07-10,3104
2023-06-26,2023-07-17,1034
2023-07-03,2023-07-03,13179
2023-07-03,2023-07-10,6589
2023-07-03,2023-07-17,2196
2023-07-03,2023-07-24,732
2023-07-10,2023-07-10,12357
2023-07-10,2023-07-17,6178
2023-07-10,2023-07-24,2059
2023-07-10,2023-07-31,1029
2023-07-17,2023-07-17,18636
2023-07-17,2023-07-24,6212
2023-07-17,2023-07-31,2070
2023-07-17,2023-08-07,1035
2023-07-24,2023-07-24,13324
2023-07-24,2023-07-31,6662
2023-07-24,2023-08-07,3331
2023-07-24,2023-08-14,1110
2023-07-31,2023-07-31,19780
2023-07-31,2023-08-07,6593
2023-07-31,2023-08-14,3296
2023-07-31,2023-08-21,1098
2023-08-07,2023-08-07,17941
2023-08-07,2023-08-14,5980
2023-08-07,2023-08-21,1993
2023-08-07,2023-08-28,996
2023-08-14,2023-08-14,11829
2023-08-14,2023-08-21,3943
2023-08-14,2023-08-28,1971
2023-08-14,2023-09-04,985
2023-08-21,2023-08-21,18778
2023-08-21,2023-08-28,6259
2023-08-21,2023-09-04,2086
2023-08-21,2023-09-11,1043
2023-08-28,2023-08-28,17601
2023-08-28,2023-09-04,8800
2023-08-28,2023-09-11,4400
2023-08-28,2023-09-18,1466
2023-09-04,2023-09-04,12982
2023-09-04,2023-09-11,6491
2023-09-04,2023-09-18,3245
2023-09-04,2023-09-25,1622
2023-09-11,2023-09-11,18451
2023-09-11,2023-09-18,6150
2023-09-11,2023-09-25,3075
2023-09-11,2023-10-02,1537
2023-09-18,2023-09-18,19777
2023-09-18,2023-09-25,6592
2023-09-18,2023-10-02,2197
2023-09-18,2023-10-09,732
2023-09-25,2023-09-25,18234
2023-09-25,2023-10-02,6078
2023-09-25,2023-10-09,3039
2023-09-25,2023-10-16,1013
2023-10-02,2023-10-02,18474
2023-10-02,2023-10-09,9237
2023-10-02,2023-10-16,4618
2023-10-02,2023-10-23,1539
2023-10-09,2023-10-09,12232
2023-10-09,2023-10-16,6116
2023-10-09,2023-10-23,3058
2023-10-09,2023-10-30,1529
2023-10-16,2023-10-16,13107
2023-10-16,2023-10-23,6553
2023-10-16,2023-10-30,3276
2023-10-16,2023-11-06,1092
2023-10-23,2023-10-23,19591
2023-10-23,2023-10-30,6530
2023-10-23,2023-11-06,3265
2023-10-23,2023-11-13,1088
2023-10-30,2023-10-30,18086
2023-10-30,2023-11-06,9043
2023-10-30,2023-11-13,3014
2023-10-30,2023-11-20,1004
2023-11-06,2023-11-06,12019
2023-11-06,2023-11-13,4006
2023-11-06,2023-11-20,1335
2023-11-06,2023-11-27,667
2023-11-13,2023-11-13,11833
2023-11-13,2023-11-20,5916
2023-11-13,2023-11-27,2958
2023-11-13,2023-12-04,1479
2023-11-20,2023-11-20,18863
2023-11-20,2023-11-27,9431
2023-11-20,2023-12-04,3143
2023-11-20,2023-12-11,1047
2023-11-27,2023-11-27,18928
2023-11-27,2023-12-04,6309
2023-11-27,2023-12-11,3154
2023-11-27,2023-12-18,1577
2023-12-04,2023-12-04,11681
2023-12-04,2023-12-11,5840
2023-12-04,2023-12-18,1946
2023-12-04,2023-12-25,973
2023-12-11,2023-12-11,18571
2023-12-11,2023-12-18,6190
2023-12-11,2023-12-25,2063
2023-12-11,2024-01-01,687
2023-12-18,2023-12-18,11714
2023-12-18,2023-12-25,3904
2023-12-18,2024-01-01,1301
2023-12-18,2024-01-08,433
2023-12-25,2023-12-25,12843
2023-12-25,2024-01-01,4281
2023-12-25,2024-01-08,2140
2023-12-25,2024-01-15,713
2024-01-01,2024-01-01,11859
2024-01-01,2024-01-08,5929
2024-01-01,2024-01-15,1976
2024-01-01,2024-01-22,988
2024-01-08,2024-01-08,13291
2024-01-08,2024-01-15,6645
2024-01-08,2024-01-22,3322
2024-01-08,2024-01-29,1107
2024-01-15,2024-01-15,18153
2024-01-15,2024-01-22,9076
2024-01-15,2024-01-29,3025
2024-01-15,2024-02-05,1008
2024-01-22,2024-01-22,11790
2024-01-22,2024-01-29,3930
2024-01-22,2024-02-05,1965
2024-01-22,2024-02-12,655
2024-01-29,2024-01-29,18207
2024-01-29,2024-02-05,9103
2024-01-29,2024-02-12,4551
2024-01-29,2024-02-19,2275
2024-02-05,2024-02-05,12347
2024-02-05,2024-02-12,4115
2024-02-05,2024-02-19,2057
2024-02-05,2024-02-26,1028
2024-02-12,2024-02-12,12539
2024-02-12,2024-02-19,6269
2024-02-12,2024-02-26,3134
2024-02-12,2024-03-04,1567
2024-02-19,2024-02-19,19031
2024-02-19,2024-02-26,6343
2024-02-19,2024-03-04,3171
2024-02-19,2024-03-11,1057
2024-02-26,2024-02-26,18580
2024-02-26,2024-03-04,9290
2024-02-26,2024-03-11,3096
2024-02-26,2024-03-18,1032
2024-03-04,2024-03-04,12866
2024-03-04,2024-03-11,6433
2024-03-04,2024-03-18,2144
2024-03-04,2024-03-25,1072
2024-03-11,2024-03-11,11871
2024-03-11,2024-03-18,5935
2024-03-11,2024-03-25,2967
2024-03-11,2024-04-01,989
2024-03-18,2024-03-18,12618
2024-03-18,2024-03-25,6309
2024-03-18,2024-04-01,2103
2024-03-18,2024-04-08,1051
2024-03-25,2024-03-25,12951
2024-03-25,2024-04-01,4317
2024-03-25,2024-04-08,1439
2024-03-25,2024-04-15,719
2024-04-01,2024-04-01,17596
2024-04-01,2024-04-08,5865
2024-04-01,2024-04-15,1955
2024-04-01,2024-04-22,651
2024-04-08,2024-04-08,11796
2024-04-08,2024-04-15,3932
2024-04-08,2024-04-22,1310
2024-04-08,2024-04-29,436
2024-04-15,2024-04-15,17730
2024-04-15,2024-04-22,5910
2024-04-15,2024-04-29,1970
2024-04-15,2024-05-06,985
2024-04-22,2024-04-22,19115
2024-04-22,2024-04-29,6371
2024-04-22,2024-05-06,3185
2024-04-22,2024-05-13,1061
2024-04-29,2024-04-29,19561
2024-04-29,2024-05-06,9780
2024-04-29,2024-05-13,3260
2024-04-29,2024-05-20,1086
2024-05-06,2024-05-06,19045
2024-05-06,2024-05-13,6348
2024-05-06,2024-05-20,3174
2024-05-06,2024-05-27,1587
2024-05-13,2024-05-13,18711
2024-05-13,2024-05-20,9355
2024-05-13,2024-05-27,4677
2024-05-13,2024-06-03,2338
2024-05-20,2024-05-20,18641
2024-05-20,2024-05-27,6213
2024-05-20,2024-06-03,3106
2024-05-20,2024-06-10,1035
2024-05-27,2024-05-27,18598
2024-05-27,2024-06-03,6199
2024-05-27,2024-06-10,2066
2024-05-27,2024-06-17,688
2024-06-03,2024-06-03,11979
2024-06-03,2024-06-10,3993
2024-06-03,2024-06-17,1996
2024-06-03,2024-06-24,998
2024-06-10,2024-06-10,12265
2024-06-10,2024-06-17,6132
2024-06-10,2024-06-24,3066
2024-06-10,2024-07-01,1022
2024-06-17,2024-06-17,19579
2024-06-17,2024-06-24,9789
2024-06-17,2024-07-01,4894
2024-06-17,2024-07-08,2447
2024-06-24,2024-06-24,12407
2024-06-24,2024-07-01,6203
2024-06-24,2024-07-08,2067
2024-06-24,2024-07-15,1033
2024-07-01,2024-07-01,19068
2024-07-01,2024-07-08,6356
2024-07-01,2024-07-15,2118
2024-07-01,2024-07-22,706
2024-07-08,2024-07-08,12493
2024-07-08,2024-07-15,6246
2024-07-08,2024-07-22,2082
2024-07-08,2024-07-29,694
2024-07-15,2024-07-15,12201
2024-07-15,2024-07-22,6100
2024-07-15,2024-07-29,3050
2024-07-15,2024-08-05,1016
2024-07-22,2024-07-22,12678
2024-07-22,2024-07-29,4226
2024-07-22,2024-08-05,1408
2024-07-22,2024-08-12,469
2024-07-29,2024-07-29,19817
2024-07-29,2024-08-05,6605
2024-07-29,2024-08-12,3302
2024-07-29,2024-08-19,1651
2024-08-05,2024-08-05,18766
2024-08-05,2024-08-12,6255
2024-08-05,2024-08-19,2085
2024-08-05,2024-08-26,695
2024-08-12,2024-08-12,12893
2024-08-12,2024-08-19,6446
2024-08-12,2024-08-26,3223
2024-08-12,2024-09-02,1611
2024-08-19,2024-08-19,11698
2024-08-19,2024-08-26,3899
2024-08-19,2024-09-02,1949
2024-08-19,2024-09-09,974
2024-08-26,2024-08-26,11781
2024-08-26,2024-09-02,3927
2024-08-26,2024-09-09,1309
2024-08-26,2024-09-16,654
2024-09-02,2024-09-02,17846
2024-09-02,2024-09-09,8923
2024-09-02,2024-09-16,4461
2024-09-02,2024-09-23,2230
2024-09-09,2024-09-09,13069
2024-09-09,2024-09-16,6534
2024-09-09,2024-09-23,3267
2024-09-09,2024-09-30,1089
