2024-10-01,2024-10-01,116626
2024-10-01,2024-11-01,58313
2024-10-01,2024-12-01,29156
2024-10-01,2025-01-01,14578
2024-11-01,2024-11-01,110204
2024-11-01,2024-12-01,55102
2024-11-01,2025-01-01,27551
2024-11-01,2025-02-01,13775
2024-12-01,2024-12-01,119697
2024-12-01,2025-01-01,59848
2024-12-01,2025-02-01,29924
2024-12-01,2025-03-01,14962
